Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,MALE,16,3.625,137,0.068,Wed,Advanced,2018,0,19,0,0,0,0,1,0
Fall,FEMALE,12,3.5,122,0.248,Wed,Introductory,2020,0,8,1,0,0,0,1,0
Fall,MALE,15,2.933,146,-0.082,Wed,Introductory,2019,0,93,1,1,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Wed,Introductory,2020,0,149,1,1,0,0,0,1
Fall,MALE,13,3.23,104,-0.138,Wed,Introductory,2021,0,11,1,1,0,0,0,1
Fall,FEMALE,14,3,97,0.18,Thu,Intermediate,2021,0,30,1,0,0,0,0,0
Fall,MALE,15,3.111,110,0.606,Thu,Introductory,2021,0,53,1,1,0,0,0,0
Fall,MALE,12,2.5,145,-0.884,Thu,Intermediate,2020,0,40,1,1,0,0,0,0
Fall,MALE,9,3.333,125,-0.011,Thu,Intermediate,2020,0,22,1,0,0,0,0,0
Fall,MALE,17,3.571,114,-0.165,Thu,Introductory,2021,0,25,1,0,0,0,0,0
Fall,FEMALE,14,2.857,238,-0.298,Thu,Introductory,2019,0,2,1,0,0,0,0,0
Fall,MALE,14,2.818,144,-0.59,Thu,Introductory,2020,0,149,1,1,0,0,0,0
Fall,MALE,15,1.5,28,-0.555,Thu,Graduate,2018,1,25,0,1,0,0,0,0
Fall,MALE,15,3.111,110,0.606,Thu,Introductory,2021,0,53,1,1,0,0,1,0
Fall,MALE,21,3.833,137,0.046,Thu,Introductory,2021,0,3,1,1,0,0,1,0
Fall,MALE,5,3.4,52,0.9,Thu,Graduate,2018,1,11,1,1,0,0,1,0
Fall,FEMALE,17,3.642,122,0.082,Thu,Introductory,2020,0,21,1,1,0,0,1,0
Fall,FEMALE,17,4,169,0.267,Thu,Introductory,2018,0,6,0,1,0,0,1,0
Fall,FEMALE,15,2.7,135,-0.586,Thu,Introductory,2019,0,1,1,1,0,0,1,0
Fall,MALE,12,2.75,162,-0.267,Thu,Introductory,2021,0,3,1,1,0,0,1,0
Fall,MALE,12,2.5,145,-0.884,Thu,Intermediate,2020,0,40,1,1,0,0,1,0
Fall,MALE,18,3.2,156,0.238,Thu,Intermediate,2019,0,33,1,1,0,0,1,0
Fall,MALE,25,4,126,0.033,Thu,Introductory,2021,0,25,1,1,0,0,1,0
Fall,FEMALE,17,4,112,0.569,Thu,Introductory,2021,0,7,1,0,0,0,1,0
Fall,FEMALE,13,4,115,0.389,Thu,Introductory,2021,0,13,1,0,0,0,1,0
Fall,FEMALE,16,4,107,0.038,Thu,Introductory,2021,0,20,1,0,0,0,1,0
Fall,MALE,20,3.764,118,-0.168,Thu,Introductory,2021,0,1,1,0,0,0,1,0
Fall,MALE,13,3.23,104,-0.138,Thu,Introductory,2021,0,11,1,1,0,0,0,1
Fall,FEMALE,17,4,134,0.252,Thu,Introductory,2020,0,13,1,1,0,0,0,1
Fall,MALE,12,2.75,155,0.57,Thu,Introductory,2020,0,38,1,1,0,0,0,1
Fall,FEMALE,17,3.764,133,-0.086,Thu,Introductory,2020,0,58,1,1,0,0,0,1
Fall,MALE,16,4,107,0.263,Thu,Introductory,2021,0,19,1,1,0,0,0,1
Fall,FEMALE,18,2.933,112,-0.086,Thu,Introductory,2021,0,5,1,1,0,0,0,1
Fall,MALE,5,0,193,-2.054,Fri,Introductory,2018,0,24,0,1,0,0,0,0
Fall,MALE,12,2.75,155,0.57,Fri,Introductory,2020,0,38,1,1,0,0,0,0
Fall,FEMALE,17,3.642,122,0.082,Fri,Introductory,2020,0,21,1,1,0,0,0,0
Fall,MALE,9,3.333,125,-0.011,Fri,Intermediate,2020,0,22,1,0,0,0,0,0
Fall,MALE,12,2,141,-0.629,Fri,Introductory,2019,0,17,1,1,0,0,0,0
Fall,FEMALE,17,1.8,151,-0.898,Fri,Introductory,2018,0,2,0,0,0,0,1,0
Fall,MALE,3,4,138,0.114,Fri,Intermediate,2021,0,23,1,0,0,0,1,0
Fall,MALE,16,3,121,0.22,Fri,Introductory,2021,0,31,1,1,0,0,1,0
Fall,MALE,14,1.785,141,-0.96,Fri,Introductory,2021,0,1,1,1,0,0,1,0
Fall,FEMALE,18,3,131,0.2,Fri,Introductory,2020,0,1,1,1,0,0,1,0
Fall,MALE,5,3.4,52,0.9,Fri,Graduate,2018,1,11,1,1,0,0,1,0
Fall,MALE,15,2.933,146,-0.082,Sun,Introductory,2019,0,93,1,1,0,0,0,1
Fall,FEMALE,10,1.9,113,-0.116,Sun,Introductory,2021,0,1,1,0,0,0,0,1
Fall,MALE,9,3.333,125,-0.011,Sun,Intermediate,2020,0,22,1,0,0,0,0,1
Fall,FEMALE,18,3.6,133,-0.16,Sun,Intermediate,2020,0,36,1,1,0,0,0,1
Fall,FEMALE,16,3.812,130,0.078,Sun,Advanced,2018,0,17,0,1,0,0,0,1
Fall,MALE,16,4,107,0.263,Sun,Introductory,2021,0,19,1,1,0,0,0,1
Fall,MALE,15,3.111,110,0.606,Sun,Introductory,2021,0,53,1,1,0,0,0,1
Fall,FEMALE,16,4,123,0.134,Sun,Intermediate,2018,0,30,0,0,0,0,0,1
Fall,FEMALE,20,3.421,146,-0.157,Sun,Intermediate,2018,0,14,0,1,0,0,0,1
Fall,MALE,12,2,108,-0.888,Sun,Introductory,2021,0,37,1,1,0,0,0,1
Fall,MALE,5,0,193,-2.054,Mon,Introductory,2018,0,24,0,1,0,0,0,0
Fall,MALE,19,3.437,0,0.12,Mon,Intermediate,2018,0,15,1,0,0,0,0,0
Fall,FEMALE,16,3.625,126,-0.375,Mon,Intermediate,2021,0,11,1,0,0,0,0,0
Fall,MALE,20,3.062,99,-0.207,Mon,Intermediate,2021,0,10,1,0,0,0,0,0
Fall,FEMALE,20,4,123,0.112,Mon,Intermediate,2021,0,110,1,0,0,0,1,0
Fall,MALE,18,1.8,44,-0.621,Mon,Introductory,2018,1,16,0,1,0,0,1,0
Fall,MALE,3,4,138,0.114,Mon,Intermediate,2021,0,23,1,0,0,0,1,0
Fall,MALE,20,1.85,135,-0.316,Mon,Introductory,2018,0,18,0,1,0,0,1,0
Fall,MALE,16,3.538,126,0.345,Mon,Intermediate,2020,0,9,1,0,0,0,1,0
Fall,FEMALE,20,4,123,0.112,Mon,Introductory,2021,0,110,1,0,0,0,1,0
Fall,MALE,13,2.538,136,-0.182,Mon,Introductory,2020,0,19,1,1,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Mon,Intermediate,2020,0,149,1,0,0,0,1,0
Fall,FEMALE,16,2.823,136,0.071,Mon,Introductory,2018,0,53,1,1,0,0,1,0
Fall,FEMALE,11,2.545,133,-0.31,Mon,Intermediate,2019,0,34,1,0,0,0,1,0
Fall,MALE,18,3.47,114,-0.215,Mon,Introductory,2021,0,67,1,0,0,0,1,0
Fall,MALE,16,3.5,86,0.756,Mon,Introductory,2021,0,80,1,0,0,0,1,0
Fall,FEMALE,18,3.666,133,0.782,Mon,Intermediate,2018,0,24,0,0,0,0,1,0
Fall,FEMALE,17,3.153,127,-0.384,Mon,Introductory,2019,0,1,1,0,0,0,1,0
Fall,FEMALE,15,3.2,122,0.044,Mon,Intermediate,2018,0,13,0,0,0,0,1,0
Fall,FEMALE,14,3.142,122,-0.323,Mon,Introductory,2018,0,1,0,0,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Mon,Introductory,2020,0,149,1,1,0,0,1,0
Fall,MALE,21,4,132,0.2,Mon,Intermediate,2018,0,2,0,0,0,0,1,0
Fall,MALE,16,2.812,124,0.058,Mon,Intermediate,2020,0,12,1,0,0,0,1,0
Fall,MALE,14,1.6,107,-1.162,Mon,Introductory,2021,0,46,1,0,0,0,1,0
Fall,MALE,18,2.5,140,-0.222,Mon,Intermediate,2021,0,8,1,0,0,0,1,0
Fall,MALE,19,4,125,0,Mon,Intermediate,2021,0,1,1,0,0,0,1,0
Fall,MALE,13,3.8,129,0.379,Mon,Intermediate,2019,0,6,1,0,0,0,1,0
Fall,MALE,16,3.333,127,0.042,Mon,Intermediate,2018,0,10,1,0,0,0,1,0
Fall,FEMALE,20,3.421,146,-0.157,Mon,Intermediate,2018,0,14,0,1,0,0,1,0
Fall,MALE,18,3.47,114,-0.215,Mon,Intermediate,2021,0,67,1,0,0,0,1,0
Fall,FEMALE,18,3.2,131,-0.466,Mon,Intermediate,2021,0,11,1,0,0,0,1,0
Fall,MALE,20,1.85,135,-0.316,Mon,Introductory,2018,0,18,0,1,0,0,1,0
Fall,MALE,17,3.823,146,0.276,Mon,Advanced,2021,0,2,1,1,0,0,1,0
Fall,MALE,13,1.5,78,-0.201,Mon,Graduate,2018,0,36,0,1,0,0,0,1
Fall,FEMALE,13,3.7,126,-0.065,Mon,Advanced,2018,0,1,0,0,1,0,0,1
Fall,MALE,14,2.818,144,-0.59,Mon,Introductory,2020,0,149,1,1,0,0,0,1
Fall,FEMALE,16,3.437,140,-0.195,Mon,Intermediate,2018,0,2,0,0,0,0,0,1
Fall,MALE,18,4,130,0.115,Mon,Introductory,2020,0,24,1,1,0,0,0,1
Fall,MALE,18,3,40,0.334,Mon,Introductory,2018,1,41,1,0,0,0,0,1
Fall,FEMALE,9,2,134,-0.474,Mon,Intermediate,2020,0,1,1,0,0,0,0,1
Fall,MALE,25,4,126,0.033,Mon,Introductory,2021,0,25,1,1,0,0,0,1
Fall,FEMALE,12,3.75,21,-0.25,Mon,Advanced,2021,0,9,1,0,0,0,0,1
Fall,FEMALE,21,2.687,145,-1.087,Mon,Introductory,2021,0,22,1,1,0,0,0,1
Fall,MALE,18,1.8,44,-0.621,Mon,Introductory,2018,1,16,0,0,0,0,0,1
Fall,FEMALE,16,4,108,0.067,Mon,Introductory,2021,0,5,1,0,0,0,0,1
Fall,FEMALE,16,4,37,0,Mon,Introductory,2018,1,5,0,0,0,0,0,1
Fall,FEMALE,21,3.5,149,-0.5,Mon,Introductory,2020,1,30,1,1,0,0,0,1
Fall,MALE,15,3.333,110,-0.229,Mon,Introductory,2021,0,39,1,1,0,0,0,1
Fall,MALE,12,2.5,145,-0.884,Mon,Intermediate,2020,0,40,1,1,0,0,0,1
Fall,MALE,17,3.823,128,0.132,Mon,Advanced,2018,0,35,0,0,0,0,0,1
Fall,FEMALE,12,2.5,71,-0.445,Mon,Introductory,2018,1,15,0,1,0,0,0,1
Fall,MALE,16,3.625,124,0.304,Tue,Intermediate,2020,0,87,1,0,0,0,0,0
Fall,FEMALE,17,2,132,-0.06,Tue,Introductory,2020,0,6,1,1,0,0,0,0
Fall,MALE,21,3,119,-0.105,Tue,Introductory,2020,0,20,1,1,0,0,0,0
Fall,FEMALE,21,3,157,-0.234,Tue,Introductory,2021,0,1,1,1,0,0,0,0
Fall,MALE,12,2.615,108,-0.062,Tue,Advanced,2021,0,57,1,0,0,0,0,0
Fall,FEMALE,23,3.117,111,0.127,Tue,Introductory,2021,0,23,1,0,0,0,0,0
Fall,MALE,13,1.5,78,-0.201,Tue,Graduate,2018,0,36,0,1,0,0,0,0
Fall,MALE,15,3.333,110,-0.229,Tue,Introductory,2021,0,39,1,1,0,0,0,0
Fall,FEMALE,17,4,107,0,Tue,Intermediate,2021,0,10,1,0,0,0,1,0
Fall,FEMALE,16,3.437,133,0.58,Tue,Intermediate,2018,0,11,0,0,0,0,1,0
Fall,FEMALE,18,4,141,0.101,Tue,Introductory,2021,0,6,1,1,0,0,1,0
Fall,MALE,13,2.692,133,-0.347,Tue,Introductory,2020,0,95,1,0,0,0,1,0
Fall,FEMALE,15,3,155,0.051,Tue,Advanced,2020,0,23,1,0,0,0,1,0
Fall,MALE,18,3.8,134,0.3,Tue,Intermediate,2020,0,5,1,1,0,0,1,0
Fall,MALE,15,1.777,24,0.162,Tue,Introductory,2018,1,46,1,1,0,0,1,0
Fall,FEMALE,20,2.75,111,-0.361,Tue,Introductory,2021,0,8,1,0,0,0,1,0
Fall,MALE,16,3.625,124,0.304,Tue,Intermediate,2020,0,87,1,0,0,0,1,0
Fall,FEMALE,20,3.785,132,-0.079,Tue,Intermediate,2021,0,2,1,1,0,0,1,0
Fall,MALE,13,2.692,133,-0.347,Tue,Advanced,2020,0,95,1,0,0,0,1,0
Fall,FEMALE,18,3.055,126,-0.05,Tue,Introductory,2018,0,2,0,1,0,0,1,0
Fall,MALE,15,3.333,110,-0.229,Tue,Introductory,2021,0,39,1,1,0,0,1,0
Fall,FEMALE,16,3.625,126,-0.375,Tue,Intermediate,2021,0,11,1,0,0,0,1,0
Fall,FEMALE,15,3.333,112,0.196,Tue,Introductory,2021,0,4,1,0,0,0,1,0
Fall,MALE,15,4,126,0.72,Tue,Intermediate,2020,0,3,1,0,0,0,1,0
Fall,MALE,15,2.333,125,0.189,Tue,Intermediate,2018,0,11,0,0,0,0,1,0
Fall,FEMALE,21,2.333,49,0.467,Tue,Introductory,2019,1,63,1,0,0,0,1,0
Fall,FEMALE,16,4,123,0.134,Tue,Introductory,2018,0,30,0,1,0,0,1,0
Fall,MALE,12,2.5,110,-0.611,Tue,Introductory,2021,0,15,1,0,0,0,1,0
Fall,FEMALE,13,3.461,121,0.196,Tue,Introductory,2021,0,3,1,1,0,0,1,0
Fall,FEMALE,13,4,108,0.258,Tue,Introductory,2021,0,2,1,1,0,0,1,0
Fall,MALE,13,2.538,136,-0.182,Tue,Introductory,2020,0,19,1,1,0,0,1,0
Fall,MALE,17,3.437,128,-0.151,Tue,Intermediate,2020,0,44,1,0,0,0,1,0
Fall,MALE,15,1.777,24,0.162,Tue,Introductory,2018,1,46,1,0,0,0,1,0
Fall,MALE,15,3.111,110,0.606,Tue,Introductory,2021,0,53,1,1,0,0,1,0
Fall,MALE,13,3.23,104,-0.138,Tue,Introductory,2021,0,11,1,1,0,0,1,0
Fall,MALE,15,2.666,45,0.456,Tue,Graduate,2018,1,16,0,1,0,0,1,0
Fall,FEMALE,15,2.4,107,-0.885,Tue,Introductory,2021,0,58,1,0,0,0,1,0
Fall,FEMALE,17,3.625,144,0.071,Tue,Introductory,2021,0,15,1,1,0,0,0,1
Fall,FEMALE,17,3.375,132,-0.272,Tue,Graduate,2020,0,5,1,1,0,0,0,1
Fall,MALE,13,3.076,129,0.037,Tue,Intermediate,2020,0,66,1,0,0,0,0,1
Fall,MALE,18,1.8,44,-0.621,Tue,Introductory,2018,1,16,0,1,0,0,0,1
Fall,MALE,14,2.818,144,-0.59,Tue,Introductory,2020,0,149,1,1,0,0,0,1
Fall,FEMALE,15,3,122,-0.025,Tue,Introductory,2020,0,8,1,1,0,0,0,1
Fall,MALE,5,0,193,-2.054,Tue,Introductory,2018,0,24,0,1,0,0,0,1
Fall,FEMALE,12,3.75,29,-0.25,Tue,Advanced,2021,0,12,1,0,0,0,0,1
Fall,MALE,16,4,107,0.263,Tue,Introductory,2021,0,19,1,1,0,0,0,1
Fall,MALE,20,0,15,-1.076,Tue,Introductory,2018,1,17,0,1,0,0,0,1
Fall,FEMALE,18,3.833,135,-0.167,Tue,Introductory,2021,0,2,1,1,0,0,0,1
Fall,MALE,15,3.111,110,0.606,Wed,Introductory,2021,0,53,1,1,0,0,0,0
Fall,MALE,11,3.076,131,0.121,Wed,Advanced,2018,0,21,0,1,0,0,0,0
Fall,MALE,15,3.2,130,0.054,Wed,Introductory,2019,0,7,1,1,0,0,0,0
Fall,MALE,15,1.5,28,-0.555,Wed,Graduate,2018,1,25,0,1,0,0,0,0
Fall,MALE,18,3.47,114,-0.215,Wed,Introductory,2021,0,67,1,1,0,0,0,0
Fall,FEMALE,11,3,97,0.496,Wed,Introductory,2020,0,7,1,1,0,0,1,0
Fall,MALE,15,3.333,110,-0.229,Wed,Introductory,2021,0,39,1,1,0,0,1,0
Fall,FEMALE,20,3.214,46,0.214,Wed,Graduate,2018,1,11,1,1,0,0,1,0
Fall,FEMALE,19,4,114,0.069,Wed,Intermediate,2021,0,10,1,0,0,0,1,0
Fall,MALE,16,3.5,86,0.756,Wed,Introductory,2021,0,80,1,0,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Wed,Introductory,2020,0,149,1,1,0,0,1,0
Fall,MALE,16,3.538,126,0.345,Wed,Intermediate,2020,0,9,1,0,0,0,1,0
Fall,FEMALE,21,2.333,49,0.467,Wed,Graduate,2019,1,63,1,1,0,0,1,0
Fall,MALE,2,4,53,0.958,Wed,Graduate,2020,0,18,1,1,0,0,1,0
Fall,FEMALE,20,4,123,0.112,Wed,Introductory,2021,0,110,1,0,0,0,1,0
Fall,FEMALE,17,4,169,0.267,Wed,Introductory,2018,0,6,0,1,0,0,1,0
Fall,FEMALE,20,3.55,171,-0.45,Wed,Intermediate,2021,0,24,1,0,0,0,1,0
Fall,FEMALE,20,4,132,0.079,Wed,Intermediate,2020,0,21,1,0,0,0,1,0
Fall,MALE,12,2.5,145,-0.884,Wed,Intermediate,2020,0,40,1,1,0,0,1,0
Fall,MALE,15,2.4,76,-0.087,Wed,Introductory,2021,0,1,1,1,0,0,1,0
Fall,MALE,18,3.333,128,0.385,Wed,Introductory,2018,0,7,0,1,0,0,1,0
Fall,FEMALE,3,3,132,-0.463,Wed,Advanced,2018,0,12,0,0,0,0,1,0
Fall,MALE,0,0,131,-3.916,Wed,Advanced,2018,0,12,0,0,0,0,1,0
Fall,MALE,14,4,123,0.082,Wed,Advanced,2018,0,7,0,0,0,0,1,0
Fall,FEMALE,16,4,123,0.033,Wed,Advanced,2018,0,12,0,0,0,0,1,0
Fall,MALE,18,3.47,114,-0.215,Wed,Introductory,2021,0,67,1,0,0,0,1,0
Fall,MALE,16,3.5,86,0.756,Wed,Introductory,2021,0,80,1,0,0,0,1,0
Fall,MALE,12,2.5,110,-0.611,Wed,Introductory,2021,0,15,1,1,0,0,1,0
Fall,MALE,16,3.625,137,0.068,Wed,Advanced,2018,0,19,0,0,0,0,1,0
Fall,MALE,14,1.6,107,-1.162,Wed,Introductory,2021,0,46,1,0,0,0,1,0
Fall,FEMALE,15,4,148,0.5,Wed,Advanced,2018,0,7,0,0,0,0,1,0
Fall,FEMALE,18,3.4,129,-0.433,Wed,Advanced,2019,0,11,0,0,0,0,1,0
Fall,FEMALE,22,3.25,137,0.378,Wed,Graduate,2020,0,1,1,1,0,0,1,0
Fall,FEMALE,15,4,30,0,Wed,Advanced,2021,0,16,1,0,0,0,1,0
Fall,FEMALE,13,4,126,0,Wed,Advanced,2018,0,5,0,0,0,0,1,0
Fall,FEMALE,18,3.666,136,0.035,Wed,Advanced,2018,0,9,0,0,0,0,1,0
Fall,MALE,15,2.933,146,-0.082,Wed,Introductory,2019,0,93,1,1,0,0,1,0
Fall,FEMALE,16,4,127,0,Wed,Intermediate,2021,0,29,1,0,0,0,1,0
Fall,FEMALE,16,1.666,64,-0.94,Wed,Introductory,2020,1,3,1,0,0,0,1,0
Fall,FEMALE,10,3.7,97,0.26,Wed,Introductory,2021,0,4,1,0,0,0,1,0
Fall,FEMALE,19,4,123,0,Wed,Introductory,2021,0,2,1,1,0,0,1,0
Fall,MALE,11,3.076,131,0.121,Wed,Advanced,2018,0,21,0,1,0,0,1,0
Fall,FEMALE,19,3.25,123,-0.301,Wed,Intermediate,2020,0,7,1,0,0,0,1,0
Fall,MALE,19,3.25,122,0.102,Wed,Intermediate,2019,0,24,1,0,0,0,1,0
Fall,FEMALE,14,3.25,122,-0.221,Wed,Introductory,2019,0,16,1,1,0,0,1,0
Fall,FEMALE,23,2.882,143,-0.529,Wed,Advanced,2020,0,12,1,0,0,0,1,0
Fall,FEMALE,13,3.25,126,-0.074,Wed,Intermediate,2019,0,23,1,0,0,0,1,0
Fall,FEMALE,4,4,144,0.227,Wed,Advanced,2018,0,1,0,0,0,0,1,0
Fall,FEMALE,12,2.75,79,-0.174,Wed,Introductory,2018,0,48,0,1,0,0,1,0
Fall,MALE,20,1.85,135,-0.316,Wed,Introductory,2018,0,18,0,1,0,0,1,0
Fall,MALE,17,3.823,146,0.276,Wed,Advanced,2021,0,2,1,1,0,0,1,0
Fall,MALE,17,2.428,137,-0.294,Wed,Intermediate,2018,0,63,0,0,0,0,1,0
Fall,FEMALE,20,4,123,0.112,Wed,Introductory,2021,0,110,1,0,0,0,1,0
Fall,MALE,16,3.812,122,0.132,Wed,Intermediate,2019,0,32,1,0,0,0,1,0
Fall,FEMALE,15,3.4,141,0.176,Wed,Intermediate,2020,0,6,1,1,0,0,1,0
Fall,MALE,14,2.818,144,-0.59,Wed,Introductory,2020,0,149,1,1,0,0,1,0
Fall,MALE,16,2.764,160,-0.34,Wed,Advanced,2018,0,9,0,0,0,0,1,0
Fall,FEMALE,17,3.294,131,-0.282,Wed,Intermediate,2018,0,5,0,0,0,0,0,1
Fall,FEMALE,15,2.8,137,-0.073,Wed,Intermediate,2018,0,1,0,0,0,0,0,1
Fall,MALE,13,1.5,78,-0.201,Wed,Graduate,2018,0,36,0,1,0,0,0,1
Fall,FEMALE,16,1.687,127,-0.375,Wed,Introductory,2020,0,5,1,1,0,0,0,1
Fall,MALE,18,3.6,122,-0.022,Wed,Intermediate,2020,0,1,1,0,0,0,0,1
Fall,MALE,15,3.4,173,0.487,Wed,Introductory,2020,0,14,1,1,0,0,0,1
Fall,FEMALE,13,3.769,114,0.093,Wed,Introductory,2021,0,4,1,0,0,0,0,1
Fall,FEMALE,12,3.416,122,-0.02,Wed,Introductory,2020,0,10,1,0,0,0,0,1
Fall,FEMALE,12,3.25,123,0.366,Wed,Introductory,2020,0,1,1,0,0,0,0,1
Fall,FEMALE,13,2.615,25,0.135,Wed,Introductory,2018,1,10,0,0,0,0,0,1
Fall,MALE,16,2.812,105,-0.288,Wed,Introductory,2021,0,12,1,0,0,0,0,1
Fall,FEMALE,13,4,119,0.158,Wed,Introductory,2021,0,3,1,0,0,0,0,1
Fall,MALE,19,4,137,0.546,Wed,Graduate,2021,0,6,1,1,0,0,0,1
Fall,FEMALE,13,4,115,0.389,Wed,Introductory,2021,0,13,1,0,0,0,0,1
Fall,FEMALE,16,4,107,0.038,Wed,Introductory,2021,0,20,1,0,0,0,0,1
Fall,FEMALE,17,3.588,120,-0.015,Wed,Introductory,2021,0,4,1,0,0,0,0,1
Fall,FEMALE,15,3.5,60,0.453,Wed,Introductory,2018,1,5,1,0,0,0,0,1
Fall,MALE,16,2.937,136,-0.617,Wed,Introductory,2020,0,1,1,1,0,0,0,1
Fall,FEMALE,13,4,119,0.253,Wed,Introductory,2021,0,3,1,0,0,0,0,1
Fall,FEMALE,16,2.823,136,0.071,Wed,Introductory,2018,0,53,1,1,0,0,0,1
Fall,FEMALE,16,1.687,127,-0.375,Wed,Introductory,2020,0,5,1,1,0,0,0,1
Fall,MALE,16,3.625,133,0.121,Wed,Introductory,2021,0,62,1,0,0,0,0,1
Fall,FEMALE,18,2.933,112,-0.086,Wed,Introductory,2021,0,5,1,1,0,0,0,1
Fall,FEMALE,12,2.75,79,-0.174,Wed,Introductory,2018,0,48,0,1,0,0,0,1
Fall,FEMALE,12,2.5,71,-0.445,Wed,Introductory,2018,1,15,0,1,0,0,0,1
Fall,MALE,16,4,107,0.263,Wed,Introductory,2021,0,19,1,1,0,0,0,1
Fall,MALE,20,0,15,-1.076,Wed,Introductory,2018,1,17,0,1,0,0,0,1
Fall,MALE,16,3.8,122,0.78,Wed,Intermediate,2019,0,60,1,0,0,0,0,1
Fall,FEMALE,16,4,127,0,Wed,Intermediate,2021,0,29,1,0,0,0,0,1
Fall,MALE,12,3,134,0.164,Wed,Intermediate,2019,0,11,1,0,0,0,0,1
Fall,FEMALE,15,3,122,-0.025,Wed,Introductory,2020,0,8,1,1,0,0,0,1
Fall,FEMALE,15,3.666,124,-0.26,Wed,Introductory,2020,0,18,1,1,0,0,0,1
Fall,FEMALE,12,3.583,122,0.218,Wed,Introductory,2020,0,8,1,1,0,0,0,1
Fall,MALE,16,3.625,124,0.304,Thu,Introductory,2020,0,87,1,0,0,0,0,0
Fall,FEMALE,19,3.25,122,0.554,Thu,Introductory,2018,0,5,0,1,0,0,0,0
Fall,MALE,15,3.2,86,0.429,Thu,Introductory,2021,0,3,1,1,0,0,0,0
Fall,FEMALE,14,3,97,0.18,Thu,Intermediate,2021,0,30,1,0,0,0,0,0
Fall,MALE,10,2.75,143,0.133,Thu,Introductory,2018,0,15,0,1,0,0,0,0
Fall,FEMALE,12,2.75,79,-0.174,Thu,Introductory,2018,0,48,0,1,0,0,0,0
Fall,MALE,14,2.818,144,-0.59,Thu,Introductory,2020,0,149,1,1,0,0,0,0
Fall,MALE,17,3.571,114,-0.165,Thu,Intermediate,2021,0,25,1,0,0,0,0,0
Fall,MALE,19,3.625,123,0.022,Thu,Intermediate,2020,0,17,1,0,0,0,0,0
Fall,MALE,19,3.6,114,0.575,Thu,Graduate,2021,0,32,1,1,0,0,0,0
Fall,FEMALE,12,3.25,134,-0.221,Thu,Introductory,2021,0,13,1,1,0,0,0,0
Fall,FEMALE,17,3.642,122,0.082,Thu,Introductory,2020,0,21,1,1,0,0,0,0
