Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Month,Hour_of_Day,Course_Level,Class_Standing_BGSU,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT
Fall 2016,2,154,FEMALE,15,4,135,0.286,Mon,Aug,15,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,88,FEMALE,18,3.8,132,0.523,Mon,Aug,15,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,105,FEMALE,13,3.23,129,-0.185,Mon,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,62,FEMALE,17,2.181,122,-0.844,Mon,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,107,FEMALE,16,3.375,135,-0.094,Mon,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,104,FEMALE,16,4,126,0.138,Mon,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,120,MALE,15,2.25,137,-0.472,Mon,Aug,16,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,66,FEMALE,6,0,12,-3,Mon,Aug,16,Intermediate,Freshman,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,629,MALE,12,3.333,203,-0.403,Tue,Aug,8,Introductory,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,2,120,FEMALE,15,3.8,148.27,0.04,Tue,Aug,11,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,95,FEMALE,15,3.133,146,-0.314,Tue,Aug,12,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,109,FEMALE,16,3.625,72,0.07,Tue,Aug,13,Introductory,Junior,2018,1,TRUE,FALSE,FALSE
Fall 2016,2,67,FEMALE,13,2.692,49,-0.244,Tue,Aug,13,Introductory,Sophomore,2018,1,FALSE,FALSE,FALSE
Fall 2016,2,90,MALE,10,2.5,123,-0.405,Tue,Aug,14,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,78,MALE,19,3.062,122,0.195,Tue,Aug,14,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,90,MALE,15,2.5,122,-0.538,Tue,Aug,14,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,22,FEMALE,17,3.571,147,-0.061,Tue,Aug,14,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,95,MALE,16,3.812,9,-0.188,Tue,Aug,14,Intermediate,Freshman,2021,0,FALSE,FALSE,FALSE
Fall 2016,2,93,FEMALE,15,3.8,123,-0.066,Tue,Aug,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,94,FEMALE,14,2.875,62,-0.525,Tue,Aug,14,Introductory,Junior,2017,1,TRUE,TRUE,FALSE
Fall 2016,2,22,FEMALE,16,2.187,123,-0.576,Tue,Aug,14,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,15,MALE,15,3,167,-0.085,Tue,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,10,FEMALE,6,0,12,-3,Tue,Aug,15,Advanced,Freshman,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,73,FEMALE,13,3.23,35,0.162,Tue,Aug,15,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,2,33,FEMALE,15,1.818,148,-1.053,Tue,Aug,15,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,37,MALE,15,2.25,137,-0.472,Tue,Aug,15,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,38,MALE,14,3.142,122,-0.049,Tue,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,39,MALE,23,3.187,127,0.253,Tue,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,97,MALE,16,3.307,125,0.094,Tue,Aug,16,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,129,MALE,16,3.076,123,-0.041,Tue,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,61,MALE,18,4,169,0.024,Tue,Aug,16,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,2,129,FEMALE,12,1,79,-1.535,Tue,Aug,16,Intermediate,Junior,2018,0,FALSE,FALSE,FALSE
Fall 2016,2,38,FEMALE,13,1.714,65,-0.619,Tue,Aug,16,Intermediate,Junior,2018,1,TRUE,FALSE,FALSE
Fall 2016,2,55,FEMALE,14,1.727,134,-1.609,Tue,Aug,17,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,21,MALE,14,3.5,30,-0.23,Tue,Aug,17,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,2,119,MALE,12,3.75,148,0.365,Tue,Aug,17,Introductory,Extended,2018,0,FALSE,FALSE,FALSE
Fall 2016,2,95,FEMALE,17,3.294,134,0.08,Tue,Aug,17,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,11,FEMALE,22,3.578,143,0.167,Tue,Aug,17,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,24,FEMALE,16,4,123,0.351,Tue,Aug,17,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,61,FEMALE,15,3.5,126,-0.5,Tue,Aug,17,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2016,2,61,FEMALE,16,3.09,157,-0.144,Tue,Aug,17,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2016,2,60,FEMALE,20,3.526,36,-0.11,Tue,Aug,17,Introductory,Sophomore,2017,1,TRUE,FALSE,FALSE
Fall 2016,2,65,MALE,16,2.687,138,-0.335,Tue,Aug,17,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,137,FEMALE,14,2.571,95,0.622,Tue,Aug,17,Introductory,Senior,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,130,FEMALE,13,2.1,126,-0.722,Tue,Aug,18,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,93,FEMALE,20,3.647,82,-0.033,Tue,Aug,18,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,119,FEMALE,15,2.466,123,-0.418,Tue,Aug,18,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,123,FEMALE,16,3.625,72,0.07,Tue,Aug,18,Introductory,Junior,2018,1,TRUE,FALSE,FALSE
Fall 2016,2,21,MALE,16,3.687,123,-0.04,Tue,Aug,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,84,MALE,12,3.333,203,-0.403,Tue,Aug,19,Introductory,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,2,159,FEMALE,19,3.071,142,-0.225,Tue,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,74,MALE,12,2.666,133,0.03,Tue,Aug,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,45,MALE,16,2.714,132,0.033,Tue,Aug,19,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,44,FEMALE,15,2,82,-0.328,Tue,Aug,19,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,76,FEMALE,18,3.187,141,-0.037,Tue,Aug,19,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,26,MALE,18,3.333,122,0.045,Tue,Aug,19,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,27,FEMALE,16,3.062,128,-0.139,Tue,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,107,FEMALE,15,4,76,0,Tue,Aug,20,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,94,FEMALE,15,2.6,150,-0.42,Tue,Aug,20,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,53,MALE,12,2.75,154,0.205,Tue,Aug,21,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,44,MALE,15,3,139,0.308,Tue,Aug,21,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,19,FEMALE,13,4,129,0,Tue,Aug,21,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,32,MALE,16,3.538,129,-0.038,Wed,Aug,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,99,MALE,12,3,133,-0.266,Wed,Aug,9,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,86,FEMALE,6,2.5,105,-0.765,Wed,Aug,9,Intermediate,Senior,2017,0,TRUE,FALSE,TRUE
Fall 2016,2,145,FEMALE,15,4,76,0,Wed,Aug,9,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,74,MALE,17,2.882,126,0.032,Wed,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,33,FEMALE,16,2.875,123,0.217,Wed,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,69,MALE,14,2,133,-0.59,Wed,Aug,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,47,MALE,12,2.25,136,-0.47,Wed,Aug,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,64,FEMALE,18,4,13,0,Wed,Aug,11,Introductory,Freshman,2019,1,FALSE,TRUE,FALSE
Fall 2016,2,64,MALE,12,3.75,122,0.154,Wed,Aug,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,24,MALE,16,3.625,125,0.158,Wed,Aug,11,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,68,MALE,13,3.615,138,-0.201,Wed,Aug,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,28,FEMALE,16,3.166,127,-0.052,Wed,Aug,11,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,70,MALE,10,3.4,145,0.857,Wed,Aug,11,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,62,MALE,13,4,145,0.616,Wed,Aug,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,33,MALE,15,2.25,124,-0.572,Wed,Aug,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,52,FEMALE,13,3.076,132.5,-0.304,Wed,Aug,12,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,2,119,MALE,12,2,134,-0.268,Wed,Aug,12,Advanced,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,100,MALE,18,3.833,138,0.659,Wed,Aug,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,25,FEMALE,21,3.562,150,-0.071,Wed,Aug,12,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,258,FEMALE,15,3.666,125,-0.015,Wed,Aug,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,146,FEMALE,12,2.5,89,-0.817,Wed,Aug,12,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,87,MALE,17,3.529,145,-0.232,Wed,Aug,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,224,MALE,12,3,94,0.214,Wed,Aug,13,Introductory,Senior,2018,0,FALSE,FALSE,FALSE
Fall 2016,2,159,FEMALE,13,4,129,0,Wed,Aug,13,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,2,84,MALE,12,2.333,129,-0.805,Wed,Aug,13,Introductory,Extended,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,65,MALE,17,3.647,123,0.36,Wed,Aug,13,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,103,MALE,15,3.066,122,-0.04,Wed,Aug,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,89,MALE,12,4,134,0.782,Wed,Aug,14,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,2,74,FEMALE,16,3.307,130,0.643,Wed,Aug,14,Intermediate,Extended,2020,0,FALSE,FALSE,TRUE
Fall 2016,2,23,FEMALE,19,3.25,141,-0.397,Wed,Aug,14,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,86,MALE,14,0,8,-1.437,Wed,Aug,14,Introductory,Freshman,2017,1,TRUE,TRUE,FALSE
Fall 2016,2,70,MALE,12,3,69,0.32,Wed,Aug,14,Introductory,Junior,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,46,FEMALE,12,1,79,-1.535,Wed,Aug,14,Introductory,Junior,2018,0,FALSE,TRUE,FALSE
Fall 2016,2,147,MALE,12,2.25,136,-0.47,Wed,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,66,MALE,18,3.666,159,-0.07,Wed,Aug,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,90,MALE,12,3.166,33,1.36,Wed,Aug,15,Introductory,Sophomore,2018,1,FALSE,TRUE,FALSE
Fall 2016,2,92,FEMALE,16,3.25,131,-0.044,Wed,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,92,FEMALE,15,3.6,129,0.15,Wed,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,68,FEMALE,17,4,150,0,Wed,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,155,FEMALE,19,4,133,0.031,Wed,Aug,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,196,MALE,16,3.187,119,0.497,Wed,Aug,15,Introductory,Senior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,75,MALE,16,3.25,123,-0.75,Wed,Aug,15,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,114,MALE,18,3.833,138,0.659,Wed,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,33,FEMALE,18,2.285,139,0.266,Wed,Aug,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,63,FEMALE,14,2.545,125,-0.318,Wed,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,118,FEMALE,17,4,137,0.514,Wed,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,74,MALE,15,3.666,123,0.096,Wed,Aug,15,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,138,MALE,16,2.875,0,-0.442,Wed,Aug,15,Introductory,Freshman,2018,0,FALSE,TRUE,FALSE
Fall 2016,2,121,MALE,16,2.687,138,-0.335,Wed,Aug,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,44,FEMALE,15,3.8,122,0.093,Wed,Aug,16,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,56,FEMALE,16,3.562,127,0.392,Wed,Aug,16,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,34,MALE,16,3.375,128,0.55,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,83,FEMALE,19,3.769,125,-0.006,Wed,Aug,16,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,128,FEMALE,16,3.625,133,0.252,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,25,MALE,20,2.5,126,0.355,Wed,Aug,16,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,77,MALE,16,3.076,123,-0.041,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,97,MALE,16,3.25,122,0.406,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,97,MALE,16,3.437,123,0.104,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,72,MALE,16,3.769,107,0.15,Wed,Aug,16,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,55,FEMALE,17,4,124,0.439,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,57,FEMALE,16,2.538,60,0.16,Wed,Aug,16,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2016,2,52,FEMALE,16,2,39,0.048,Wed,Aug,16,Introductory,Sophomore,2017,1,TRUE,FALSE,FALSE
Fall 2016,2,42,FEMALE,12,1.5,24,0.306,Wed,Aug,16,Introductory,Freshman,2018,1,TRUE,FALSE,FALSE
Fall 2016,2,68,FEMALE,12,2.666,143,-0.799,Wed,Aug,16,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,98,FEMALE,13,4,32,0.725,Wed,Aug,16,Introductory,Sophomore,2017,1,TRUE,FALSE,FALSE
Fall 2016,2,50,FEMALE,22,3.75,44,-0.031,Wed,Aug,16,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,2,114,MALE,13,4,145,0.616,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,80,FEMALE,19,3.187,129,-0.154,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,85,FEMALE,16,3.625,126,0.178,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,82,FEMALE,13,2.692,132,-0.189,Wed,Aug,16,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,2,31,FEMALE,12,3,130,-0.15,Wed,Aug,16,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,165,MALE,19,3.625,126,0.131,Wed,Aug,17,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,190,MALE,16,3.307,125,0.094,Wed,Aug,17,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,60,FEMALE,19,2.75,100,0,Wed,Aug,17,Introductory,Senior,2018,1,FALSE,FALSE,FALSE
Fall 2016,2,88,FEMALE,16,2.666,143,-0.687,Wed,Aug,17,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,63,MALE,14,2.785,140,-0.215,Wed,Aug,17,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,83,MALE,17,3.529,145,-0.232,Wed,Aug,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,238,MALE,13,3.307,119,0.728,Wed,Aug,17,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,46,FEMALE,14,4,75,0,Wed,Aug,18,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,2,129,FEMALE,15,3.466,124,0.086,Wed,Aug,18,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,128,FEMALE,15,2.75,122,-0.439,Wed,Aug,18,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,195,MALE,18,3.666,159,-0.07,Wed,Aug,18,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,67,MALE,17,3.571,133,0.593,Wed,Aug,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,57,MALE,15,2.25,137,-0.472,Wed,Aug,19,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,2,120,FEMALE,12,3.25,144,0.025,Wed,Aug,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,95,MALE,3,0,136,-3.186,Wed,Aug,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,72,FEMALE,19,4,130,0.412,Wed,Aug,19,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,54,MALE,18,2.8,165,0.041,Wed,Aug,20,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,37,FEMALE,16,3.769,129,0.192,Wed,Aug,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,19,FEMALE,16,2.461,55,0.373,Wed,Aug,20,Introductory,Sophomore,2018,1,FALSE,FALSE,FALSE
Fall 2016,2,50,FEMALE,15,4,131,0,Wed,Aug,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,7,MALE,16,4,122,0,Wed,Aug,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,26,MALE,16,2.687,137,-0.261,Wed,Aug,20,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,2,61,MALE,12,2.75,154,0.205,Wed,Aug,21,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,47,FEMALE,18,4,127,0,Wed,Aug,21,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,2,151,MALE,16,2.714,132,0.033,Thu,Sep,8,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,58,FEMALE,19,4,133,0.031,Thu,Sep,9,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,97,MALE,12,3,133,-0.266,Thu,Sep,9,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,108,FEMALE,13,3.538,132,0.402,Thu,Sep,9,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,118,MALE,18,3.666,159,-0.07,Thu,Sep,10,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,56,MALE,12,3.5,173,0.196,Thu,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,133,MALE,14,2.428,134,-0.372,Thu,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,148,FEMALE,13,2.1,126,-0.722,Thu,Sep,10,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,150,MALE,13,2.846,132,0.374,Thu,Sep,10,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,92,MALE,15,2.25,124,-0.572,Thu,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,50,FEMALE,13,2.8,153,-0.59,Thu,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,25,MALE,15,3.666,123,0.096,Thu,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,2,113,FEMALE,15,3.8,127,0.263,Thu,Sep,12,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,10,FEMALE,15,3.4,133,0.4,Thu,Sep,12,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,2,72,MALE,15,2.6,128,-0.175,Thu,Sep,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,97,FEMALE,17,3,130,-0.336,Thu,Sep,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,2,399,MALE,17,3.647,123,0.36,Thu,Sep,12,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,2,75,FEMALE,24,3.4,153,-0.031,Thu,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
