Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Month,Hour_of_Day,Course_Level,Class_Standing_BGSU,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT
Fall 2017,1,FEMALE,10,1.9,113,-0.116,Sun,Aug,17,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,1,MALE,9,3.333,125,-0.011,Sun,Aug,18,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,1,FEMALE,18,3.6,133,-0.16,Sun,Aug,18,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,16,3.812,130,0.078,Sun,Aug,19,Advanced,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,16,4,107,0.263,Sun,Aug,19,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,MALE,15,3.111,110,0.606,Sun,Aug,19,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,1,FEMALE,16,4,123,0.134,Sun,Aug,20,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,1,FEMALE,20,3.421,146,-0.157,Sun,Aug,21,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,1,MALE,12,2,108,-0.888,Sun,Aug,21,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,5,0,193,-2.054,Mon,Aug,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,19,3.437,0,0.12,Mon,Aug,11,Intermediate,Freshman,2018,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,16,3.625,126,-0.375,Mon,Aug,11,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,20,3.062,99,-0.207,Mon,Aug,11,Intermediate,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,20,4,123,0.112,Mon,Aug,12,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,18,1.8,44,-0.621,Mon,Aug,13,Introductory,Sophomore,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,MALE,3,4,138,0.114,Mon,Aug,13,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,20,1.85,135,-0.316,Mon,Aug,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,16,3.538,126,0.345,Mon,Aug,13,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,20,4,123,0.112,Mon,Aug,13,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,13,2.538,136,-0.182,Mon,Aug,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,14,2.818,144,-0.59,Mon,Aug,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,16,2.823,136,0.071,Mon,Aug,14,Introductory,Extended,2018,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,11,2.545,133,-0.31,Mon,Aug,14,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,18,3.47,114,-0.215,Mon,Aug,14,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,3.5,86,0.756,Mon,Aug,14,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,18,3.666,133,0.782,Mon,Aug,15,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,17,3.153,127,-0.384,Mon,Aug,15,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,15,3.2,122,0.044,Mon,Aug,15,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,14,3.142,122,-0.323,Mon,Aug,15,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,14,2.818,144,-0.59,Mon,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,21,4,132,0.2,Mon,Aug,15,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,16,2.812,124,0.058,Mon,Aug,15,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,14,1.6,107,-1.162,Mon,Aug,15,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,18,2.5,140,-0.222,Mon,Aug,15,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,19,4,125,0,Mon,Aug,15,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,13,3.8,129,0.379,Mon,Aug,15,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,3.333,127,0.042,Mon,Aug,15,Intermediate,Extended,2018,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,20,3.421,146,-0.157,Mon,Aug,15,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,18,3.47,114,-0.215,Mon,Aug,15,Intermediate,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,18,3.2,131,-0.466,Mon,Aug,16,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,20,1.85,135,-0.316,Mon,Aug,16,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,17,3.823,146,0.276,Mon,Aug,16,Advanced,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,1.5,78,-0.201,Mon,Aug,17,Advanced,Junior,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,13,3.7,126,-0.065,Mon,Aug,17,Advanced,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2017,2,MALE,14,2.818,144,-0.59,Mon,Aug,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,16,3.437,140,-0.195,Mon,Aug,17,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,18,4,130,0.115,Mon,Aug,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,18,3,40,0.334,Mon,Aug,17,Introductory,Sophomore,2018,1,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,9,2,134,-0.474,Mon,Aug,18,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,25,4,126,0.033,Mon,Aug,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,12,3.75,21,-0.25,Mon,Aug,18,Advanced,Freshman,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,21,2.687,145,-1.087,Mon,Aug,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,18,1.8,44,-0.621,Mon,Aug,18,Introductory,Sophomore,2018,1,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,16,4,108,0.067,Mon,Aug,19,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,16,4,37,0,Mon,Aug,19,Introductory,Sophomore,2018,1,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,21,3.5,149,-0.5,Mon,Aug,19,Introductory,Extended,2020,1,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,3.333,110,-0.229,Mon,Aug,19,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,12,2.5,145,-0.884,Mon,Aug,19,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,17,3.823,128,0.132,Mon,Aug,20,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,12,2.5,71,-0.445,Mon,Aug,20,Introductory,Junior,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,MALE,16,3.625,124,0.304,Tue,Aug,8,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,17,2,132,-0.06,Tue,Aug,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,21,3,119,-0.105,Tue,Aug,9,Introductory,Senior,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,21,3,157,-0.234,Tue,Aug,10,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,12,2.615,108,-0.062,Tue,Aug,10,Advanced,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,23,3.117,111,0.127,Tue,Aug,11,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,13,1.5,78,-0.201,Tue,Aug,11,Advanced,Junior,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,15,3.333,110,-0.229,Tue,Aug,11,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,17,4,107,0,Tue,Aug,12,Intermediate,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,16,3.437,133,0.58,Tue,Aug,12,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,18,4,141,0.101,Tue,Aug,12,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,2.692,133,-0.347,Tue,Aug,12,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,15,3,155,0.051,Tue,Aug,12,Advanced,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,18,3.8,134,0.3,Tue,Aug,12,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,1.777,24,0.162,Tue,Aug,12,Introductory,Freshman,2018,1,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,20,2.75,111,-0.361,Tue,Aug,12,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,3.625,124,0.304,Tue,Aug,13,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,20,3.785,132,-0.079,Tue,Aug,13,Intermediate,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,2.692,133,-0.347,Tue,Aug,13,Advanced,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,18,3.055,126,-0.05,Tue,Aug,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,15,3.333,110,-0.229,Tue,Aug,13,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,16,3.625,126,-0.375,Tue,Aug,14,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,15,3.333,112,0.196,Tue,Aug,14,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,15,4,126,0.72,Tue,Aug,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,15,2.333,125,0.189,Tue,Aug,14,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,21,2.333,49,0.467,Tue,Aug,14,Introductory,Sophomore,2019,1,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,16,4,123,0.134,Tue,Aug,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,12,2.5,110,-0.611,Tue,Aug,14,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,13,3.461,121,0.196,Tue,Aug,15,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,13,4,108,0.258,Tue,Aug,15,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,2.538,136,-0.182,Tue,Aug,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,17,3.437,128,-0.151,Tue,Aug,15,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,15,1.777,24,0.162,Tue,Aug,15,Introductory,Freshman,2018,1,FALSE,FALSE,FALSE
Fall 2017,2,MALE,15,3.111,110,0.606,Tue,Aug,15,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,3.23,104,-0.138,Tue,Aug,16,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,2.666,45,0.456,Tue,Aug,16,Advanced,Sophomore,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,15,2.4,107,-0.885,Tue,Aug,16,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,17,3.625,144,0.071,Tue,Aug,17,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,17,3.375,132,-0.272,Tue,Aug,17,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,13,3.076,129,0.037,Tue,Aug,18,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,18,1.8,44,-0.621,Tue,Aug,18,Introductory,Sophomore,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,MALE,14,2.818,144,-0.59,Tue,Aug,18,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,15,3,122,-0.025,Tue,Aug,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,5,0,193,-2.054,Tue,Aug,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,12,3.75,29,-0.25,Tue,Aug,20,Advanced,Freshman,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,4,107,0.263,Tue,Aug,20,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,20,0,15,-1.076,Tue,Aug,20,Introductory,Freshman,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,18,3.833,135,-0.167,Tue,Aug,21,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,3.111,110,0.606,Wed,Aug,8,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,11,3.076,131,0.121,Wed,Aug,9,Advanced,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,MALE,15,3.2,130,0.054,Wed,Aug,10,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,1.5,28,-0.555,Wed,Aug,11,Advanced,Freshman,2018,1,TRUE,TRUE,FALSE
Fall 2017,2,MALE,18,3.47,114,-0.215,Wed,Aug,11,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,11,3,97,0.496,Wed,Aug,12,Introductory,Senior,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,3.333,110,-0.229,Wed,Aug,12,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,20,3.214,46,0.214,Wed,Aug,12,Advanced,Sophomore,2018,1,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,19,4,114,0.069,Wed,Aug,13,Intermediate,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,3.5,86,0.756,Wed,Aug,13,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,14,2.818,144,-0.59,Wed,Aug,13,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,16,3.538,126,0.345,Wed,Aug,13,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,21,2.333,49,0.467,Wed,Aug,13,Advanced,Sophomore,2019,1,FALSE,TRUE,FALSE
Fall 2017,2,MALE,2,4,53,0.958,Wed,Aug,13,Advanced,Sophomore,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,FEMALE,20,4,123,0.112,Wed,Aug,13,Introductory,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,17,4,169,0.267,Wed,Aug,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,20,3.55,171,-0.45,Wed,Aug,14,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,20,4,132,0.079,Wed,Aug,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,12,2.5,145,-0.884,Wed,Aug,14,Intermediate,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,15,2.4,76,-0.087,Wed,Aug,14,Introductory,Junior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,18,3.333,128,0.385,Wed,Aug,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2017,2,FEMALE,3,3,132,-0.463,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,0,0,131,-3.916,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,14,4,123,0.082,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,16,4,123,0.033,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,18,3.47,114,-0.215,Wed,Aug,14,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,16,3.5,86,0.756,Wed,Aug,14,Introductory,Junior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,MALE,12,2.5,110,-0.611,Wed,Aug,14,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2017,2,MALE,16,3.625,137,0.068,Wed,Aug,14,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,MALE,14,1.6,107,-1.162,Wed,Aug,15,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2017,2,FEMALE,15,4,148,0.5,Wed,Aug,15,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,18,3.4,129,-0.433,Wed,Aug,15,Advanced,Extended,2019,0,TRUE,FALSE,FALSE
Fall 2017,2,FEMALE,22,3.25,137,0.378,Wed,Aug,15,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
